word,occurences
the first battle of bull run,3
biggie smalls the notorious big,2
the oregon trail,36
singer,15
dodge,22
moth broth,1
a leg,9
waterfalls,6
springfield,50
crosshairs,2
chevrolet,39
butter mutter,1
balloons,19
michael janet jackson,1
king kamehameha,15
a transistor,6
ford,122
a rookie cookie,1
the army of the potomac,7
missy misdemeanor elliott,2
topeka kansas,4
jethro tull,8
toyota,68
a lime mime,1
pickett,7
sarah mclachlan,14
manzanar,6
a wringer,1
nissan,27
a spam tam,1
wuthering heights,73
tv guide,22
princeton,95
a wet bar,2
miami vice,42
mount fuji,52
mark twain,178
usa today,30
paloma picasso,10
a murphy bed,3
edward norton,3
foundling,1
james fenimore cooper,75
the wall street journal,44
the danube,84
a valance,3
edward herrman,1
dianne feinstein,20
les miserables,31
the new york times,43
george sand,46
an armoire,9
farragut,13
thomas hardy,77
simon schuster,6
major john andré,10
a chesterfield,2
fife,8
the basques,16
europe,52
mcdonalds,88
a base on balls,2
bully,3
longhorn,5
enrico caruso,18
the arabian peninsula,13
swatch,4
dizzy paul dean,1
hand,19
branding,3
sons of the pioneers,2
french guiana,23
mohair,9
5,120
chum,13
roundup,6
bessie smith,20
macedonia,46
reebok,22
ty cobb,29
honcho,4
the cook,1
edith piaf,15
pitcairn island,31
futures or commodities exchange,1
haiti,135
naught,4
the chisholm trail,15
jenny lind,22
communist party,9
the dikes,1
f for fahrenheit,1
miss america,44
galileo,151
the taming of the shrew,61
november 2,1
spanishamerican war,16
l for liter,1
the titanic,74
ursa major,19
a midsummer nights dream,104
socialism,10
the crimean war,66
n,24
achille lauro,4
titan,25
the merry wives of windsor,35
the gulf of tonkin resolution,14
ardennes,2
w formerly womens wear daily,1
jeanclaude duvalier,4
betelgeuse,8
antony and cleopatra,23
the philippines,203
scotland,224
m,44
nicholas daniloff,1
charles messier,4
a comedy of errors,7
madison wisconsin,9
tom thumb,25
san francisco,281
a garage,4
a star,44
clinton,41
storm,7
pigs,15
wings,81
a stall,3
atlanta,187
ivan iii,1
hot,11
fulton,26
frank zappa,13
a cabana,5
william pitt the elder,2
john d rockefeller iii,1
call,5
blacksmith,10
elton john,78
barracks,5
jacksonville,29
george iii,81
jerk,6
audubon,42
paul simon,57
a tavern,3
san diego,67
the suntimes,2
tape,3
an autopsy,10
veronica lake,7
ebenezer scrooge,33
roosevelt,12
richard byrd,29
encore,6
minnesota,181
hedy lamarr,11
michelangelo,143
amanda,3
james clarke ross,1
the house,3
a defibrillator,12
mary pickford,22
the sorcerers apprentice,15
andrew,31
russia,294
a proscenium,1
the adrenal glands,11
dorothy dandridge,10
all creatures great and small,7
moses,157
capt robert scott,1
a dresser,1
an arthroscope,2
louise brooks,1
georges braque,7
christopher,7
ernest shackleton,8
a cyclorama,1
the saturday evening post,16
maine,245
halloween,67
frank sinatra,85
dogs,45
humidity,25
the gander,2
truman and eisenhower,1
robert redford,40
annie oakley,77
dublin,139
lightning strikes,2
the cuckoo,5
the university of michigan,21
deliverance,18
alexander the great,153
queen mary,11
ice age,19
a crow,6
jacqueline kennedy,32
young frankenstein,25
edward teller,13
the venetian,5
australia,513
a lark,8
ronald reagan,220
love story,42
longfellow,50
the roosevelt,2
drizzle,6
a clay pigeon,1
january 1 2001,2
tennis golf accepted,1
a triptych,9
commander in chief,4
trinidad,26
a grizzly bear,10
ham,48
hockey,75
da vinci,46
sumo wrestling,22
titograd,1
dazzle,2
absolut,4
soccer,107
dalí,21
yeoman,9
cartagena,7
whizzer,1
paperbacks,2
curling,35
alfred stieglitz,7
czarevich,1
the malagasy republic,2
nebuchadnezzar,43
mexico,389
boxing,67
realism,11
envoy,2
königsberg,1
brazzaville,4
isaac asimov,48
hair,98
the wizard of oz,95
steak tartare,8
red,218
geoffrey,3
feet,29
lungs,35
annie hall,29
chow mein,2
ohio,172
a peacock,25
supper,2
their heads,1
star wars,58
huevos rancheros,10
stem cells,17
an elk,12
a beer,2
her wings,2
et,42
a brisket,3
tom daschle,7
spuds mackenzie,4
your cash,1
an ostrich,41
bonnie and clyde,22
beets,23
barack obama,32
a rabbit or a bunny,1
a car,10
notre dame,114
the bass,11
dostoevsky,22
tokyo,137
pinocchio,67
the breadwinner,2
the berlin wall,48
slowhand,2
robert louis stevenson,81
rio de janeiro,90
the parentteacher association,1
bread crumbs,4
christopher wren,27
eddie van halen,13
virginia woolf,80
los angeles,120
oscar wilde,103
the breadbasket,2
the inglenook,1
george benson,5
jules verne,68
rome,232
pearl buck,47
bread and circuses,3
a dutch door,5
segovia,11
emile zola,17
vienna,175
y,22
breadandbutter pickles,1
1 of 1936 1483 or 1066,1
second,13
steve mcqueen,24
prince albert,37
dday,25
sri lanka,101
zaire,25
jane fonda,44
the houses of parliament,3
confederate,2
colombia,142
1 of nigeria libya algeria or gabon,1
willie nelson,40
the british museum,35
world war ii korea and vietnam,1
papeete,9
sudan,45
ava gardner,12
antony armstrongjones aka lord snowdon,1
walter reed hospital,1
machu picchu,38
algiers tunis,1
candleholder,1
barbara hershey,6
coventry cathedral,1
george patton,18
reykjavik,43
indians,13
the sistine chapel,38
go faster,1
nikita khrushchev,37
threepenny opera,2
the chicago tribune,6
john mitchell,16
hans holbein,18
kabuki,25
nellie bly,26
the scopes trial,7
jesus,45
synapses,9
oscar arias sanchez,2
sam shepard,37
the washington times,1
northwest ordinance,1
worked in an art gallery or sold art,1
the liver,85
helmut kohl of germany,2
august strindberg,16
nauvoo,6
claude monet,44
the duodenum,7
olof palme,8
eugene oneill,91
john peter zenger,9
big island of hawaii,2
baltimore,91
a bear,38
the international workers of the world,1
the aborigines,13
a salad dressing,1
bruce willis,33
detroit,137
danny boy,5
close your eyes,1
christmas,75
dress rehearsal,3
a billion,7
the mormons,17
a goldbricker,1
the international space station,21
devil in a blue dress,2
